Final Results by CAMF_C, MAE: 0.701909, RMSE: 0.984249, NAME: 0.175477, rMAE: 0.669710, rRMSE: 1.032861, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:03','00:00'
Final Results by CAMF_C, MAE: 0.697384, RMSE: 0.976012, NAME: 0.174346, rMAE: 0.659091, rRMSE: 1.012276, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:00','00:00'
Final Results by CAMF_CU, MAE: 0.684934, RMSE: 0.968330, NAME: 0.171233, rMAE: 0.650099, rRMSE: 1.002978, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:00','00:00'
Final Results by CAMF_CU, MAE: 0.650106, RMSE: 0.901738, NAME: 0.162526, rMAE: 0.608264, rRMSE: 0.937166, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:01','00:00'
Final Results by CAMF_CU, MAE: 0.645677, RMSE: 0.904181, NAME: 0.161419, rMAE: 0.610850, rRMSE: 0.944112, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:02','00:00'
Final Results by CAMF_CU, Pre5: 0.041235,Pre10: 0.048203, Rec5: 0.071318, Rec10: 0.166964, AUC5: 0.571672, AUC10: 0.634655, MAP5: 0.029163, MAP10: 0.044948,NDCG5: 0.050676, NDCG10: 0.091330,MRR5: 0.068377, MRR10: 0.090524, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:02','00:01'
Final Results by CAMF_C, Pre5: 0.055563,Pre10: 0.058368, Rec5: 0.101797, Rec10: 0.204315, AUC5: 0.596962, AUC10: 0.659513, MAP5: 0.039258, MAP10: 0.057118,NDCG5: 0.069489, NDCG10: 0.113780,MRR5: 0.091753, MRR10: 0.113886, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:01','00:00'
Final Results by CAMF_CI, Pre5: 0.042669,Pre10: 0.046896, Rec5: 0.074947, Rec10: 0.166992, AUC5: 0.574233, AUC10: 0.630846, MAP5: 0.032220, MAP10: 0.047842,NDCG5: 0.054937, NDCG10: 0.093777,MRR5: 0.077921, MRR10: 0.097980, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:02','00:00'
Final Results by CAMF_CUCI, Pre5: 0.043435,Pre10: 0.051872, Rec5: 0.079888, Rec10: 0.180318, AUC5: 0.579483, AUC10: 0.649330, MAP5: 0.032933, MAP10: 0.049621,NDCG5: 0.057013, NDCG10: 0.100873,MRR5: 0.079903, MRR10: 0.105360, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 1.0E-4, isBoldDriver: false, Time: '00:06','00:02'
